ORF,ranks,weighted_rank
YDL087C,255,0.406190504
YDL088C,115,0.511058885
YDL089W,46,0.446838142
YDL090C,146,0.372427222
YDL091C,288,0.3070223
YDL092W,359,0.502764603
YDL093W,197,0.338312932
YDL094C,3,0.579245913
YDL095W,179,0.33601199
YDL096C,29,0.512650582
YDL097C,426,0.400083182
YDL098C,175,0.500992421
YDL099W,132,0.331619498
YDL100C,408,0.296953817
YDL101C,610,0.373614598
YDL102W,575,0.428854942
YDL103C,287,0.33637819
YDL104C,528,0.268558331
YDL105W,120,0.367342342
YDL106C,176,0.319194194
YDL107W,112,0.368734806
YDL108W,391,0.48607943
YDL109C,109,0.390638345
YDL110C,249,0.347894079
YDL111C,381,0.314968512
YDL112W,540,0.269856894
YDL113C,284,0.339423931
YDL114W,223,0.278529651
YDL115C,152,0.362520415
YDL116W,366,0.362685089
YDL117W,190,0.362852326
YDL118W,1,0.95995996
YDL119C,84,0.440059107
YDL120W,355,0.409818269
YDL121C,107,0.320310965
YDL122W,237,0.315784139
YDL123W,118,0.342741046
YDL124W,387,0.337872756
YDL125C,532,0.243508546
YDL126C,818,0.392617556
YDL127W,162,0.362590986
YDL128W,144,0.345755478
YDL129W,88,0.337337337
YDL130W,677,0.468532048
YDL130W-A,210,0.351518185
YDL131W,352,0.300081331
YDL132W,653,0.461812502
YDL133C-A,162,0.85249447
YDL133W,77,0.357981358
YDL134C,588,0.327953804
YDL135C,237,0.332032454
YDL136W,617,0.608649168
YDL137W,561,0.347759524
YDL138W,540,0.248748749
YDL139C,93,0.410442701
YDL140C,1347,0.423933213
YDL141W,507,0.278655381
YDL142C,491,0.274714633
YDL143W,890,0.357835363
YDL144C,78,0.30965581
YDL145C,438,0.360618609
YDL146W,178,0.30912373
YDL147W,436,0.395921151
YDL148C,655,0.538724985
YDL149W,359,0.378275211
YDL150W,486,0.40594298
YDL151C,5,0.482882883
YDL152W,1,0.48048048
YDL153C,534,0.558545437
YDL154W,274,0.332599022
YDL155W,539,0.409907124
YDL156W,320,0.322334835
YDL157C,40,0.263813814
YDL158C,1,0.173173173
YDL159C-B,1,0.551551552
YDL159W,437,0.352760083
YDL159W-A,16,0.458333333
YDL160C,882,0.332958809
YDL160C-A,71,0.340481326
YDL161W,273,0.36381803
YDL162C,4,0.406406406
YDL163W,38,0.305068226
YDL164C,659,0.441912322
YDL165W,262,0.328423844
