,Gene Name,ORF,SD Localization,SD Intensity (Median),SD STD,N' NOP1pr-GFP in SD Localization,N' NOP1pr-GFP in SD Intensity,N' TEF2pr-mCherry in SD Localization,N' TEF2pr-mCherry in SD Intensity,N' NATIVEpr-GFP in SD Localization,N' NATIVEpr-GFP in SD Intensity
934,NST1,YNL091W,cytosol,32.81,,cytosol,41.4771,cytosol,17.6245,cytosol,34.7846
1495,NTA1,YJR062C,below threshold,14.5,,"cytosol,nucleus",52.2964,nucleus,79.1436,below threshold,21.6388
1651,NTC20,YBR188C,nucleus,26.93,,cytosol,101.902,cytosol,173.543,nucleus,32.5749
10,NTE1,YML059C,ER,23.85,,"punctate,bud",57.4184,"cell periphery,punctate,bud neck",38.8495,below threshold,19.1263
99,NTG1,YAL015C,nucleus,20.77,,mitochondria,135.98,mitochondria,101.304,cytosol,22.9697
669,NTG2,YOL043C,below threshold,16.29,,nucleus,81.9325,nucleus,67.945,below threshold,19.293
690,NTH2,YBR001C,cytosol,19.35,,cytosol,58.8714,cytosol,36.4789,below threshold,24.090999999999998
642,NTO1,YPR031W,nucleus,19.47,,nucleus,32.2429,nucleus,17.0023,nucleus,22.3148
178,NTR2,YKR022C,nucleus,20.31,,cytosol,79.5743,cytosol,56.2738,below threshold,21.3611
1491,NUC1,YJL208C,mitochondria,28.76,,cytosol,45.1182,cytosol,20.3406,cytosol,29.6131
543,NUD1,YOR373W,punctate,22.37,,punctate,49.8587,punctate,46.1366,punctate,25.4477
1269,NUF2,YOL069W,punctate,23.34,,"cytosol,punctate",86.9213,punctate,97.9411,punctate,23.2522
14,NUG1,YER006W,nucleus,119.25,,nucleus,58.2203,nucleus,64.3908,"punctate,nucleus",25.5018
204,NUM1,YDR150W,punctate,32.76,,"cytosol,cell periphery,punctate",72.95,"cell periphery,punctate",52.6799,punctate,29.8376
1076,NUP1,YOR098C,nuclear periphery,38.01,,"punctate,nucleus",81.1958,vacuole,51.8782,"punctate,nuclear periphery",35.6381
616,NUP100,YKL068W,nuclear periphery,41.86,,"punctate,nuclear periphery",87.5262,punctate,0.0,"punctate,nuclear periphery",20.8714
618,NUP116,YMR047C,,,,"punctate,nuclear periphery",74.29899999999999,missing,,"punctate,nuclear periphery",45.3592
646,NUP120,YKL057C,,,,"punctate,nuclear periphery",81.4218,nucleus,70.8556,"punctate,nuclear periphery",45.6938
608,NUP133,YKR082W,below threshold,11.87,,nuclear periphery,116.06200000000001,"punctate,nuclear periphery",102.09299999999999,"punctate,nuclear periphery",32.0691
1000,NUP145,YGL092W,nuclear periphery,53.35,,"punctate,nucleus",91.7903,missing,,punctate,29.0916
609,NUP157,YER105C,nuclear periphery,42.0,,"punctate,nuclear periphery",110.03399999999999,"punctate,nuclear periphery",79.8879,"punctate,nuclear periphery",44.4405
1354,NUP159,YIL115C,nuclear periphery,47.44,,"cytosol,nuclear periphery",75.0095,"punctate,nuclear periphery",31.5184,"punctate,nuclear periphery",55.1626
598,NUP170,YBL079W,nuclear periphery,41.41,,"punctate,nuclear periphery",65.2859,"punctate,nuclear periphery",84.8203,"punctate,nuclear periphery",36.9995
556,NUP188,YML103C,below threshold,14.42,,"punctate,nuclear periphery",93.7809,"punctate,nuclear periphery",51.5676,"punctate,nuclear periphery",21.5499
50,NUP192,YJL039C,nuclear periphery,38.15,,"punctate,nucleus",104.831,"punctate,nuclear periphery",54.443000000000005,"punctate,nuclear periphery",51.585
975,NUP2,YLR335W,nuclear periphery,64.11,,"punctate,nucleus",206.456,cytosol,208.428,"punctate,nuclear periphery",85.3048
1608,NUP42,YDR192C,,,,"cytosol,nuclear periphery",64.9418,nuclear periphery,30.3811,"punctate,nuclear periphery",20.148
550,NUP49,YGL172W,nuclear periphery,52.72,,"punctate,nuclear periphery",91.23899999999999,"punctate,nuclear periphery",91.5171,"punctate,nuclear periphery",30.7828
557,NUP53,YMR153W,nuclear periphery,37.09,,nuclear periphery,78.0883,vacuole membrane,63.3376,"punctate,nuclear periphery",23.8785
628,NUP60,YAR002W,below threshold,16.23,,"punctate,nuclear periphery",76.6489,"ER,vacuole",15.9052,"punctate,nuclear periphery",41.4703
615,NUP82,YJL061W,nuclear periphery,22.36,,"punctate,nuclear periphery",56.2928,nuclear periphery,64.2476,missing,
546,NUP84,YDL116W,nuclear periphery,51.19,,nuclear periphery,62.6171,"punctate,nuclear periphery",25.0125,"punctate,nuclear periphery",52.6204
12,NUR1,YDL089W,,,,"punctate,nuclear periphery",72.18,"punctate,nuclear periphery",73.2202,"punctate,nuclear periphery",22.444000000000003
54,NUS1,YDL193W,"punctate,ER",48.13,,punctate,106.11200000000001,punctate,149.41,"ER,punctate",44.3651
1582,NUT1,YGL151W,nucleus,19.32,,"cytosol,nucleus",70.0503,nucleus,59.4187,nucleus,25.8301
2230,NUT2,YPR168W,nucleus,47.97,,cytosol,34.3602,cytosol,21.8112,below threshold,23.6963
148,NVJ1,YHR195W,below threshold,15.18,,"ER,punctate",46.6931,"cell periphery,vacuole membrane",74.6136,punctate,22.6443
22,NVJ3,YDR179W-A,,,,ambiguous,28.3379,punctate,10.7442,below threshold,20.3292
60,NYV1,YLR093C,,,,vacuole membrane,28.6554,vacuole membrane,53.9852,vacuole membrane,32.5205
175,Nvj2,YPR091C,"punctate, ER",32.88,8.91653,"cell periphery,ER,punctate",109.84200000000001,"cell periphery,punctate",127.31,"cell periphery,ER,punctate",30.3479
37,OAC1,YKL120W,below threshold,14.37,,mitochondria,50.0716,mitochondria,76.1801,mitochondria,27.7512
553,OAF1,YAL051W,below threshold,16.47,,nucleus,61.7757,nucleus,59.7647,nucleus,26.5863
607,OAF3,YKR064W,nucleus,19.87,,nucleus,44.4896,nucleus,48.268,nucleus,25.6957
1841,OAR1,YKL055C,mitochondria,20.09,,cytosol,46.0763,"cell periphery,vacuole",70.8272,below threshold,17.0473
1395,OAZ1,YPL052W,below threshold,18.65,,cytosol,22.2668,below threshold,4.79804,below threshold,22.1529
1646,OCA1,YNL099C,cytosol,27.09,,cytosol,69.5585,cytosol,71.7598,"ambiguous,cytosol",21.7237
1089,OCA2,YNL056W,cytosol,32.84,,cytosol,93.0558,cytosol,151.49200000000002,below threshold,19.6729
1034,OCA4,YCR095C,cytosol,32.36,,cytosol,42.4599,cytosol,19.6853,cytosol,30.4142
444,OCA5,YHL029C,cytosol,37.28,,cytosol,35.5247,cytosol,46.7597,below threshold,23.9228
1700,OCA6,YDR067C,cytosol,23.4,,cytosol,49.2342,cytosol,31.7079,cytosol,25.7661
136,OCH1,YGL038C,below threshold,15.22,,punctate,34.1828,vacuole,39.2363,punctate,31.4369
56,ODC1,YPL134C,below threshold,14.43,,mitochondria,125.243,mitochondria,90.24700000000001,"punctate,mitochondria",31.6955
87,ODC2,YOR222W,,,,mitochondria,106.837,mitochondria,45.1287,mitochondria,79.2104
575,OGG1,YML060W,nucleus,23.47,,nucleus,75.891,nucleus,19.2467,nucleus,21.9505
380,OKP1,YGR179C,punctate,22.64,,"punctate,nucleus",48.8225,"punctate,nucleus",20.6569,punctate,23.5236
666,OLA1,YBR025C,cytosol,275.24,,cytosol,426.469,cytosol,527.962,cytosol,229.65
137,OLE1,YGL055W,ER,118.34,,ER,86.7219,ER,159.501,below threshold,21.776999999999997
53,OM14,YBR230C,below threshold,18.05,,cytosol,143.92700000000002,mitochondria,288.431,cytosol,62.7327
2047,OM45,YIL136W,below threshold,13.6,,"cytosol,punctate",125.35799999999999,cytosol.mitochondria,236.604,"punctate,mitochondria",33.6053
258,OMA1,YKR087C,mitochondria,18.45,,mitochondria,93.4096,missing,9.36176,mitochondria,25.7297
156,OMS1,YDR316W,below threshold,16.71,,mitochondria,55.2423,mitochondria,24.865,mitochondria,18.4146
202,OPI1,YHL020C,nucleus,30.8,,nuclear periphery,43.1014,"punctate,nuclear periphery",30.3899,nuclear periphery,25.1395
314,OPI3,YJR073C,ER,29.3,,"ER,punctate",74.5695,"ER,vacuole",97.5676,"punctate,ER",63.0103
97,OPT1,YJL212C,,,,"cell periphery,punctate",53.4085,"cell periphery,vacuole",55.5803,cytosol,26.8872
480,OPT2,YPR194C,below threshold,13.49,,"punctate,vacuole",108.00399999999999,vacuole,102.706,below threshold,20.9777
452,OPY1,YBR129C,cytosol,24.92,,cytosol,49.7314,cytosol,92.2929,below threshold,21.4119
476,OPY2,YPR075C,cytosol,24.36,,"ER,punctate",95.7855,"punctate,vacuole",61.6649,ER,36.4945
901,ORC1,YML065W,cytosol,18.29,,nucleus,54.129,nucleus,37.3062,nucleus,27.9766
336,ORC2,YBR060C,nucleus,20.62,,nucleus,52.5392,nucleus,14.1589,nucleus,28.9297
5,ORC3,YLL004W,,,,nucleolus,36.1094,nucleus,20.3068,nucleus,23.2334
1033,ORC4,YPR162C,below threshold,17.12,,nucleus,65.4226,missing,,nucleus,29.7221
217,ORC5,YNL261W,nucleus,25.11,,nucleus,74.9139,nucleus,64.1549,nucleus,29.2994
369,ORC6,YHR118C,nucleus,26.86,,nucleus,29.096,below threshold,10.1025,below threshold,17.6766
223,ORM1,YGR038W,ER,40.81,,ER,114.98700000000001,ER,249.74900000000002,ER,39.2133
340,ORM2,YLR350W,ER,37.6,,ER,52.7537,"ER,vacuole",78.8444,ER,79.0608
69,ORT1,YOR130C,mitochondria,18.85,,mitochondria,53.9475,mitochondria,33.0078,mitochondria,31.9768
2,OSH2,YDL019C,cell periphery,32.11,,"cell periphery,punctate,bud",114.868,"cell periphery,punctate",142.267,cell periphery,24.8172
134,OSH3,YHR073W,below threshold,16.4,,cytosol,71.7801,cytosol,86.9765,punctate,28.3315
108,OSH7,YHR001W,nucleus,22.51,,cytosol,177.332,cytosol,213.39700000000002,"punctate,cell periphery",38.8018
242,OSM1,YJR051W,mitochondria,21.65,,mitochondria,64.819,mitochondria,105.348,"ER,punctate",35.1222
839,OST1,YJL002C,ER,99.2,,ER,141.884,ER,62.2354,ER,85.7926
236,OST2,YOR103C,,,,ER,135.87,"ER,vacuole",75.0837,ER,52.8297
795,OST3,YOR085W,ambiguous,19.3,,ER,143.545,ER,,ER,45.0112
56,OST4,YDL232W,ER,116.17,,"ER,punctate",0.0,mitochondria,464.00300000000004,punctate,17.8117
104,OST5,YGL226C-A,,,,cytosol,72.5505,missing,0.0,missing,0.0
388,OST6,YML019W,below threshold,14.23,,ER,46.7756,"ER,punctate",55.2497,below threshold,25.9288
226,OSW1,YOR255W,below threshold,15.48,,cell periphery,32.5248,"vacuole,nucleus",0.0,below threshold,18.4331
1058,OSW2,YLR054C,below threshold,15.48,,"cytosol,punctate",48.6047,punctate,36.1771,below threshold,18.3475
875,OSW7,YFR039C,,,,ER,91.7624,ER,52.233999999999995,"punctate,nuclear periphery",28.1345
1382,OTU1,YFL044C,nucleus,23.33,,"cytosol,nucleus",0.0,missing,0.0,cytosol,28.78
1302,OTU2,YHL013C,cytosol,30.61,,cytosol,113.47399999999999,cytosol,146.874,below threshold,36.6027
768,OXP1,YKL215C,cytosol,32.26,,cytosol,129.241,cytosol,154.069,cytosol,24.5468
1662,OXR1,YPL196W,below threshold,16.05,,cytosol,0.0,cytosol,126.27,cytosol,24.6372
429,OYE2,YHR179W,cytosol,246.1,,cytosol,239.87099999999998,cytosol,424.593,cytosol,127.736
926,OYE3,YPL171C,cytosol,23.8,,cytosol,232.407,cytosol,251.033,below threshold,24.5523
447,Oct-01,YKL134C,,,,mitochondria,48.2093,mitochondria,23.2608,below threshold,0.0
254,Oct1,YKL134C,,,,mitochondria,48.2093,mitochondria,0.0,below threshold,23.2608
695,PAA1,YDR071C,below threshold,15.05,,cytosol,270.121,cytosol,497.656,punctate,117.905
1638,PAB1,YER165W,below threshold,19.17,,cytosol,678.8439999999999,cytosol,357.559,cytosol,547.332
1657,PAC1,YOR269W,below threshold,17.07,,"cytosol,nucleus",51.6838,cytosol,58.0156,below threshold,18.6746
2091,PAC10,YGR078C,cytosol,61.01,,cytosol,105.306,cytosol,87.9867,cytosol,53.8351
1524,PAC11,YDR488C,below threshold,14.73,,cytosol,55.7553,cytosol,80.5476,cytosol,21.8924
736,PAC2,YER007W,below threshold,16.46,,cytosol,45.4096,cytosol,27.9449,below threshold,21.8967
389,PAD1,YDR538W,mitochondria,20.2,,mitochondria,128.84,missing,232.65599999999998,mitochondria,20.1363
216,PAF1,YBR279W,nucleus,46.3,,"nucleus,nucleolus",80.6872,"nucleus,nucleolus",6.52581,nucleus,61.798
222,PAH1,YMR165C,cytosol,33.13,,cytosol,78.3306,cytosol,101.262,below threshold,28.4663
603,PAI3,YMR174C,cytosol,33.94,,cytosol,313.53700000000003,cytosol,519.033,cytosol,32.2792
100,PAL1,YDR348C,,,,bud neck,64.2825,bud neck,119.955,missing,0.0
205,PAM1,YDR251W,below threshold,17.32,,cell periphery,71.1722,cell periphery,89.9971,bud neck,32.0028
408,PAM16,YJL104W,mitochondria,89.62,,mitochondria,72.4885,missing,,missing,
265,PAM17,YKR065C,below threshold,15.92,,mitochondria,171.082,missing,62.8489,mitochondria,31.7706
1924,PAM18,YLR008C,below threshold,16.81,,cytosol,64.7641,cytosol,198.408,below threshold,21.4828
23,PAN1,YIR006C,punctate,69.91,,"punctate,bud neck",165.36,"punctate,bud neck",102.055,"punctate,bud neck",54.0596
734,PAN2,YGL094C,below threshold,18.2,,cytosol,88.6862,cytosol,70.3147,below threshold,20.8272
843,PAN3,YKL025C,cytosol,29.74,,cytosol,99.485,nucleus,99.2083,below threshold,24.5986
718,PAN5,YHR063C,,,,"ER,punctate",104.711,"cell periphery,vacuole",25.5401,cytosol,32.939
721,PAN6,YIL145C,below threshold,15.51,,cytosol,123.096,cytosol,151.342,cytosol,64.5775
859,PAP1,YKR002W,nucleus,38.86,,nucleus,92.2542,nucleus,69.3458,nucleus,57.8135
379,PAP2,YOL115W,nucleus,30.37,,nucleus,52.9343,nucleus,33.7409,nucleus,42.5922
213,PAR32,YDL173W,cell periphery,45.52,,cell periphery,114.96700000000001,cell periphery,157.211,cell periphery,36.2716
1517,PAT1,YCR077C,cytosol,59.53,,"cytosol,nucleus",114.59700000000001,nucleus,51.9229,cytosol,57.2623
161,PAU1,YJL223C,below threshold,17.64,,vacuole,59.8775,vacuole,24.4553,below threshold,17.8492
814,PAU10,YDR542W,,,,"ER,vacuole",80.96,vacuole,27.8465,below threshold,16.592
1723,PAU11,YGL261C,below threshold,16.4,,"cytosol,nucleus",96.6344,below threshold,5.7744,below threshold,16.3914
696,PAU12,YGR294W,below threshold,14.45,,"ER,vacuole",72.9072,vacuole,21.3972,below threshold,15.8837
713,PAU13,YHL046C,below threshold,14.82,,ER,94.1651,vacuole,35.0583,below threshold,16.8228
209,PAU15,YIR041W,below threshold,16.05,,vacuole,78.444,vacuole,32.5111,below threshold,19.6522
122,PAU16,YKL224C,below threshold,15.83,,vacuole,71.312,vacuole,18.1656,below threshold,17.7714
139,PAU17,YLL025W,below threshold,19.2,,vacuole,47.5412,vacuole,17.1378,below threshold,18.5103
840,PAU19,YMR325W,below threshold,17.67,,"cytosol,nucleus",75.8441,nucleus,8.19688,below threshold,18.5868
1763,PAU2,YEL049W,below threshold,13.22,,"cytosol,nucleus",61.2554,below threshold,8.068589999999999,below threshold,18.3921
966,PAU20,YOL161C,below threshold,14.52,,"punctate,vacuole",63.3219,vacuole,34.9222,ambiguous,25.296
298,PAU21,YOR394W,below threshold,16.78,,"cytosol,punctate",113.88799999999999,punctate,122.94,"cytosol,punctate",49.553000000000004
869,PAU22,YPL282C,below threshold,18.31,,"ER,vacuole",50.2423,vacuole,9.79209,below threshold,18.7527
735,PAU23,YLR037C,below threshold,18.24,,"ER,vacuole",60.5509,vacuole,21.2229,punctate,20.3834
28,PAU24,YBR301W,below threshold,14.52,,"cytosol,nucleus",55.001999999999995,below threshold,7.47469,below threshold,19.3703
1837,PAU3,YCR104W,below threshold,15.76,,cytosol,81.8036,"cell periphery,vacuole",7.2098,below threshold,15.8536
802,PAU4,YLR461W,below threshold,14.13,,"ER,vacuole",70.4716,vacuole,26.8227,below threshold,19.222
222,PAU5,YFL020C,below threshold,15.64,,vacuole,61.2368,vacuole,18.715,below threshold,19.1857
736,PAU6,YNR076W,below threshold,16.86,,"ER,vacuole",72.2209,vacuole,20.8436,punctate,16.5223
1639,PAU7,YAR020C,below threshold,13.54,,cytosol,94.76299999999999,cytosol,18.9946,below threshold,17.2947
664,PAU9,YBL108C-A,below threshold,14.54,,"ER,vacuole",36.1458,vacuole,10.3401,below threshold,16.8279
529,PBA1,YLR199C,cytosol,21.15,,"cytosol,nucleus",39.3454,nucleus,29.6005,nucleus,30.4441
1206,PBI1,YPL272C,,,,cytosol,48.1813,below threshold,9.87177,below threshold,17.775
246,PBI2,YNL015W,cytosol,97.13,,cytosol,392.31,cytosol,503.86699999999996,cytosol,133.94
66,PBN1,YCL052C,,,,"ER,punctate",60.1066,"ER,punctate",98.6523,punctate,20.6105
613,PBP1,YGR178C,"cytosol,nucleus",56.8,,cytosol,111.363,punctate,154.514,cytosol,57.6126
1833,PBP2,YBR233W,below threshold,18.09,,cytosol,95.8944,vacuole,0.0,nucleus,30.5257
2207,PBP4,YDL053C,cytosol,44.58,,cytosol,99.3927,cytosol,24.5614,cytosol,45.2727
891,PBR1,YNL181W,,,,"ER,punctate",133.028,"ER,punctate",206.25099999999998,cytosol,19.4088
924,PBS2,YJL128C,,,,cytosol,66.0604,cytosol,78.3962,cytosol,42.2523
708,PBY1,YBR094W,cytosol,32.54,,cytosol,105.051,cytosol,126.40899999999999,cytosol,44.7715
1335,PCC1,YKR095W-A,,,,cytosol,79.564,cytosol,116.52600000000001,cytosol,38.9975
170,PCD1,YLR151C,below threshold,15.76,,cytosol,51.0572,cytosol,119.345,below threshold,21.4608
199,PCF11,YDR228C,,,,nucleus,54.5986,nucleus,53.9825,nucleus,33.9825
622,PCH2,YBR186W,below threshold,14.15,,cytosol,41.248000000000005,cytosol,19.2026,below threshold,18.2141
2111,PCI8,YIL071C,below threshold,18.24,,"cytosol,nucleus",47.1664,"cytosol,nucleus",7.740760000000001,below threshold,22.3225
1007,PCK1,YKR097W,below threshold,19.74,,cytosol,194.423,cytosol,216.051,cytosol,23.4471
19,PCL1,YNL289W,below threshold,17.07,,ambiguous,12.1731,below threshold,4.18559,below threshold,19.8718
579,PCL10,YGL134W,cytosol,19.36,,"cytosol,punctate",38.7418,cytosol,28.6386,below threshold,18.8807
143,PCL2,YDL127W,below threshold,17.32,,below threshold,16.9071,below threshold,,below threshold,19.9012
2139,PCL5,YHR071W,below threshold,17.12,,"cytosol,nucleus",31.9718,below threshold,30.7594,below threshold,20.2956
779,PCL6,YER059W,cytosol,29.7,,cytosol,41.787,cytosol,23.145,below threshold,25.4434
1301,PCL7,YIL050W,below threshold,17.25,,cytosol,39.7893,cytosol,13.4507,cytosol,30.9757
626,PCL8,YPL219W,below threshold,19.42,,"cytosol,nucleus",45.5793,cytosol,28.0929,below threshold,15.8376
74,PCL9,YDL179W,cytosol,19.08,,below threshold,21.566999999999997,below threshold,5.7053,below threshold,13.4066
2190,PCM1,YEL058W,cytosol,47.02,,cytosol,181.40900000000002,missing,38.6086,cytosol,41.7329
421,PCP1,YGR101W,mitochondria,19.12,,mitochondria,101.751,mitochondria,55.7833,mitochondria,41.0559
23,PCS60,YBR222C,,,,punctate,165.80599999999998,punctate,179.99099999999999,punctate,31.2893
160,PCT1,YGR202C,nuclear periphery,29.04,,nuclear periphery,102.48299999999999,vacuole membrane,137.872,nuclear periphery,37.8844
183,PDA1,YER178W,punctate,177.8,,mitochondria,243.25400000000002,"punctate,mitochondria",47.9275,punctate,22.8552
120,PDB1,YBR221C,below threshold,16.13,,mitochondria,303.778,missing,100.98,mitochondria,101.14299999999999
1200,PDC1,YLR044C,cytosol,2113.27,,nucleus,648.851,nucleus,0.0,missing,3439.2
468,PDC2,YDR081C,nucleus,22.61,,nucleus,63.2285,nucleus,101.164,missing,0.0
1007,PDC5,YLR134W,,,,nucleus,387.19699999999995,nucleus,334.004,below threshold,20.791999999999998
493,PDC6,YGR087C,nucleus,28.24,,nucleus,328.63199999999995,missing,0.0,missing,0.0
1217,PDE1,YGL248W,below threshold,16.84,,cytosol,59.3101,cytosol,0.0,cytosol,27.8032
268,PDE2,YOR360C,below threshold,16.05,,nucleus,37.2539,missing,,missing,0.0
1814,PDH1,YPR002W,mitochondria,23.27,,cytosol,104.821,"cell periphery,vacuole",0.0,cytosol,22.5606
693,PDI1,YCL043C,,,,ER,268.847,ER,172.315,"ER,punctate",207.858
936,PDP3,YLR455W,,,,nucleus,56.0475,nucleus,44.387,nucleus,30.1901
841,PDR1,YGL013C,nucleus,23.53,,nucleus,61.9305,nucleus,79.49,nucleus,36.5766
174,PDR10,YOR328W,below threshold,16.38,,"cell periphery,ER",75.7514,"cell periphery,vacuole",65.2131,below threshold,17.1196
48,PDR11,YIL013C,below threshold,14.66,,cell periphery,92.0383,"cell periphery,vacuole",109.568,below threshold,18.3078
190,PDR12,YPL058C,below threshold,16.25,,cell periphery,144.108,"cell periphery,vacuole",119.973,cell periphery,28.7058
21,PDR15,YDR406W,cytosol,20.86,,cell periphery,99.5919,"cell periphery,vacuole",115.446,cell periphery,23.771
299,PDR16,YNL231C,cytosol,18.8,,cytosol,104.63,cytosol,135.584,"cytosol,punctate",69.5125
304,PDR17,YNL264C,,,,cytosol,147.151,cytosol,178.34799999999998,cytosol,37.9754
13,PDR18,YNR070W,below threshold,15.67,,ambiguous,35.9134,below threshold,4.84576,below threshold,13.5689
149,PDR3,YBL005W,,,,nucleus,46.8687,nucleus,47.0765,"punctate,nucleus",21.8152
144,PDR5,YOR153W,below threshold,16.11,,cell periphery,124.01799999999999,"cell periphery,vacuole",91.772,missing,
1290,PDR8,YLR266C,below threshold,16.97,,"punctate,nucleus",35.1039,"punctate,nucleus",21.6849,below threshold,19.8605
2055,PDS1,YDR113C,below threshold,14.61,,"cytosol,nucleus",40.2162,missing,5.44862,missing,0.0
861,PDS5,YMR076C,nucleus,33.24,,nucleus,81.6068,nucleus,82.6743,nucleus,39.1591
202,PDX1,YGR193C,below threshold,16.75,,mitochondria,140.884,mitochondria,146.941,"cytosol,mitochondria",35.9679
1228,PDX3,YBR035C,,,,cytosol,257.253,cytosol,370.67900000000003,cytosol,54.6294
59,PEA2,YER149C,below threshold,17.24,,bud,75.0142,bud neck,78.0229,bud neck,20.1663
27,PEF1,YGR058W,cytosol,24.76,,"punctate,nucleus",68.2124,"punctate,nucleus",111.18799999999999,nucleus,26.5372
937,PEP1,YBL017C,punctate,44.86,,"punctate,vacuole",77.5572,vacuole,51.0151,punctate,29.0683
456,PEP12,YOR036W,,,,"punctate,vacuole membrane",74.0504,vacuole membrane,114.82600000000001,punctate,29.709
268,PEP3,YLR148W,punctate,26.24,,punctate,46.6035,punctate,40.6072,below threshold,18.5622
863,PEP4,YPL154C,,,,"ER,punctate",189.628,missing,0.0,"ER,vacuole",92.3049
359,PEP5,YMR231W,punctate,27.1,,punctate,58.9737,punctate,36.92,punctate,26.7983
55,PEP7,YDR323C,punctate,16.86,,punctate,50.333,punctate,33.9577,punctate,25.6967
545,PEP8,YJL053W,below threshold,14.98,,"cytosol,punctate",98.1186,nucleus,140.078,punctate,33.6405
227,PER33,YLR064W,,,,cytosol,191.942,cytosol,338.27,cytosol,65.5512
1076,PES4,YFR023W,below threshold,17.64,,cytosol,102.37299999999999,cytosol,169.976,below threshold,18.7115
404,PET100,YDR079W,mitochondria,21.23,,mitochondria,94.875,missing,191.585,below threshold,17.8099
301,PET111,YMR257C,below threshold,13.93,,mitochondria,28.9248,mitochondria,13.557,missing,
104,PET112,YBL080C,mitochondria,19.01,,mitochondria,60.9809,"punctate,mitochondria",0.0,missing,0.0
1085,PET123,YOR158W,mitochondria,54.83,,nucleus,55.8944,"cell periphery,vacuole",,below threshold,20.4243
1069,PET127,YOR017W,,,,nucleus,19.5354,vacuole,,below threshold,16.6867
1199,PET130,YJL023C,below threshold,14.24,,nucleus,28.6301,nucleus,4.456230000000001,below threshold,18.2157
335,PET18,YCR020C,below threshold,19.63,,cytosol,162.638,cytosol,253.391,below threshold,21.1094
234,PET191,YJR034W,below threshold,18.25,,mitochondria,101.179,missing,302.665,mitochondria,19.9585
331,PET20,YPL159C,mitochondria,16.43,,mitochondria,83.7066,mitochondria,9.20608,mitochondria,21.4744
274,PET309,YLR067C,mitochondria,21.15,,mitochondria,29.9967,"punctate,mitochondria",26.7571,missing,0.0
335,PET494,YNR045W,mitochondria,16.79,,mitochondria,37.6298,missing,0.0,below threshold,15.1603
1523,PET54,YGR222W,below threshold,16.76,,"cytosol,nucleus",46.8483,nucleus,36.6563,missing,
40,PET8,YNL003C,mitochondria,18.1,,mitochondria,45.6675,mitochondria,44.1772,"punctate,mitochondria",21.2656
90,PET9,YBL030C,below threshold,14.24,,mitochondria,260.709,missing,173.541,below threshold,21.2358
162,PEX1,YKL197C,punctate,26.76,,cytosol,71.9263,cytosol,66.574,punctate,24.4151
35,PEX10,YDR265W,punctate,17.14,,punctate,41.4593,punctate,25.1554,below threshold,21.0952
443,PEX11,YOL147C,punctate,34.93,,punctate,165.861,punctate,109.95299999999999,punctate,69.2906
300,PEX12,YMR026C,punctate,18.24,,punctate,51.489,punctate,46.54,punctate,19.3979
274,PEX13,YLR191W,punctate,23.58,,punctate,40.525,punctate,65.2844,punctate,26.9674
163,PEX14,YGL153W,punctate,29.14,,punctate,93.8751,punctate,146.36700000000002,punctate,23.0342
410,PEX15,YOL044W,,,,punctate,56.983000000000004,punctate,49.6512,punctate,22.7372
444,PEX17,YNL214W,punctate,21.35,,punctate,43.2263,punctate,7.953010000000001,punctate,26.4398
239,PEX18,YHR160C,below threshold,16.35,,punctate,68.335,punctate,37.088,below threshold,20.2985
6,PEX19,YDL065C,,,,"cytosol,punctate",91.7961,cytosol,137.384,punctate,43.3058
166,PEX2,YJL210W,below threshold,14.09,,"cytosol,punctate",59.1373,"cytosol,punctate",20.6583,below threshold,19.5683
93,PEX21,YGR239C,punctate,29.04,,"cytosol,nucleus",46.5601,cytosol,22.3292,punctate,32.8469
377,PEX25,YPL112C,,,,punctate,73.086,"punctate,mitochondria",64.5046,punctate,46.852
400,PEX27,YOR193W,punctate,16.24,,punctate,30.1811,punctate,18.3779,punctate,19.8364
152,PEX28,YHR150W,below threshold,18.66,,cytosol,38.8161,below threshold,9.08571,punctate,15.4802
113,PEX29,YDR479C,below threshold,15.52,,ER,51.8247,"ER,punctate",63.0412,ambiguous,20.5397
65,PEX3,YDR329C,punctate,22.18,,punctate,59.8326,punctate,59.5896,punctate,16.7508
13,PEX30,YLR324W,below threshold,14.81,,"cell periphery,ER,bud",83.2131,"ER,punctate,bud",162.938,"ER,bud",93.7264
70,PEX31,YGR004W,cytosol,21.28,,"cell periphery,ER,punctate",63.2115,"cell periphery,ER,punctate",85.8256,"ambiguous,ER,bud",23.566
2,PEX32,YBR168W,punctate,17.59,,punctate,30.5407,below threshold,9.40676,below threshold,19.497
89,PEX34,YCL056C,,,,punctate,56.2203,punctate,86.7655,punctate,20.7771
1002,PEX35,YGR168C,,,,punctate,43.7148,punctate,59.9669,below threshold,18.9016
234,PEX4,YGR133W,punctate,16.84,,punctate,72.0942,punctate,47.7884,punctate,16.5785
30,PEX5,YDR244W,punctate,24.97,,punctate,71.6123,cytosol,89.8795,punctate,40.3077
233,PEX6,YNL329C,punctate,21.82,,"cytosol,punctate",57.0047,punctate,27.9657,punctate,17.5806
129,PEX7,YDR142C,below threshold,16.52,,punctate,50.957,punctate,51.6797,punctate,25.1471
221,PEX8,YGR077C,below threshold,16.95,,punctate,68.775,punctate,84.265,punctate,20.8475
2269,PEX9,YMR018W,,,,"cytosol,punctate",44.081,punctate,15.1139,punctate,16.6946
