max_5_ind_1,max_5_ind_2,max_5_ind_3,max_5_ind_4,max_5_ind_5
1277,1461,4998,690,5792
4890,6465,6381,2174,6251
3326,2356,4867,5290,2458
2253,5917,3252,6349,947
3235,990,254,2383,5023
6132,6492,71,6053,995
780,5155,4755,6641,2262
4778,2117,2589,4561,5306
4657,5776,1328,5801,5512
3306,5675,5425,5731,3100
3117,2327,4497,4894,5975
107,5102,5101,4065,5301
4657,5776,1328,2157,489
6187,1785,2834,2231,2314
1033,4063,6667,331,4733
3617,229,772,2372,289
906,5521,3466,3247,5222
5579,6584,2237,5473,2236
908,4440,6560,5284,5687
965,-2,-2,-2,-2
1655,4574,389,6399,2384
4065,4579,4748,540,4558
-2,-2,-2,-2,-2
2288,16,5747,4778,6313
5598,17,6664,170,5231
1668,5052,3672,900,2418
846,298,446,6560,1804
1212,4445,3526,1865,1650
250,4857,3432,6227,863
3703,5783,806,1548,2129
6243,3132,2866,6382,6654
975,808,809,1538,2906
5450,299,708,4887,1760
3572,5932,1288,1777,459
744,545,4582,3847,4909
4931,1134,1889,3672,5647
1206,3385,5175,5684,146
3321,657,526,5932,1288
6224,4550,1290,1093,4491
